"Tarih","Şimdi","Açılış","Yüksek","Düşük","Fark %"
"24.04.2020","6,9742","6,9395","6,9970","6,9395","0,40%"
"23.04.2020","6,9462","6,9797","7,0005","6,9226","-0,47%"
"22.04.2020","6,9787","6,9812","7,0097","6,9516","-0,04%"
"21.04.2020","6,9812","6,9394","7,0008","6,9346","0,59%"
"20.04.2020","6,9402","6,9314","6,9575","6,8714","0,12%"
"17.04.2020","6,9317","6,9397","6,9584","6,8253","-0,11%"
"16.04.2020","6,9397","6,9118","6,9605","6,8860","0,40%"
"15.04.2020","6,9118","6,8153","6,9283","6,8127","1,41%"
"14.04.2020","6,8155","6,7723","6,8256","6,7603","0,64%"
"13.04.2020","6,7721","6,7033","6,8018","6,7009","1,07%"
"10.04.2020","6,7001","6,6746","6,7298","6,6590","0,38%"
"09.04.2020","6,6746","6,7737","6,7979","6,6164","-1,46%"
"08.04.2020","6,7737","6,7550","6,7968","6,7512","0,29%"
"07.04.2020","6,7540","6,7801","6,7895","6,6927","-0,41%"
"06.04.2020","6,7815","6,7291","6,7951","6,7075","0,75%"
"03.04.2020","6,7310","6,6137","6,7517","6,6083","1,75%"
"02.04.2020","6,6153","6,7024","6,7205","6,5891","-1,31%"
"01.04.2020","6,7030","6,6149","6,7140","6,6087","1,34%"
"31.03.2020","6,6143","6,5764","6,6272","6,5490","0,56%"
"30.03.2020","6,5773","6,4549","6,5974","6,4433","1,89%"
"27.03.2020","6,4550","6,3982","6,4764","6,3885","0,89%"
"26.03.2020","6,3979","6,4169","6,5117","6,3793","-0,30%"
"25.03.2020","6,4170","6,4205","6,4773","6,3773","-0,05%"
"24.03.2020","6,4203","6,5605","6,5740","6,3917","-2,16%"
"23.03.2020","6,5617","6,5528","6,6185","6,5403","0,14%"
"20.03.2020","6,5525","6,5438","6,5665","6,4548","0,13%"
"19.03.2020","6,5439","6,4840","6,5582","6,4653","1,06%"
"18.03.2020","6,4752","6,4010","6,4945","6,3995","1,22%"
"17.03.2020","6,3974","6,4313","6,4980","6,3780","-0,53%"
"16.03.2020","6,4315","6,3310","6,4465","6,2780","1,57%"
"13.03.2020","6,3321","6,3139","6,3392","6,2400","0,26%"
"12.03.2020","6,3159","6,2089","6,3210","6,2027","1,72%"
"11.03.2020","6,2091","6,1584","6,2141","6,1245","0,84%"
"10.03.2020","6,1575","6,1485","6,1725","6,0996","0,22%"
"09.03.2020","6,1442","6,0919","6,1951","6,0833","0,86%"
"06.03.2020","6,0919","6,1097","6,1296","6,0645","-0,30%"
"05.03.2020","6,1105","6,0785","6,1354","6,0527","0,55%"
"04.03.2020","6,0773","6,1058","6,1472","6,0547","-0,49%"
"03.03.2020","6,1070","6,1779","6,2248","6,0307","-1,09%"
"02.03.2020","6,1743","6,2453","6,2615","6,1575","-1,10%"
"28.02.2020","6,2427","6,2110","6,2605","6,1950","0,56%"
"27.02.2020","6,2078","6,1570","6,2115","6,1452","0,79%"
"26.02.2020","6,1590","6,1441","6,1674","6,1360","0,24%"
"25.02.2020","6,1441","6,1189","6,1612","6,0659","0,43%"
"24.02.2020","6,1177","6,0962","6,1624","6,0932","0,35%"
"21.02.2020","6,0964","6,1002","6,1289","6,0870","-0,07%"
"20.02.2020","6,1004","6,0825","6,1114","6,0760","0,30%"
"19.02.2020","6,0823","6,0629","6,0892","6,0447","0,30%"
"18.02.2020","6,0642","6,0455","6,0765","6,0410","0,32%"
"17.02.2020","6,0449","6,0542","6,0602","6,0332","-0,09%"
"14.02.2020","6,0505","6,0377","6,0683","6,0311","0,17%"
"13.02.2020","6,0405","6,0480","6,0686","6,0353","-0,02%"
"12.02.2020","6,0420","6,0130","6,0670","5,9960","0,43%"
"11.02.2020","6,0163","6,0098","6,0501","5,9985","0,09%"
"10.02.2020","6,0108","6,0164","6,0257","5,9720","-0,07%"
"07.02.2020","6,0153","5,9869","6,0476","5,9725","0,47%"
"06.02.2020","5,9874","5,9803","5,9900","5,9726","0,08%"
"05.02.2020","5,9827","5,9820","5,9920","5,9688","0,04%"
"04.02.2020","5,9801","5,9843","5,9888","5,9575","-0,07%"
"03.02.2020","5,9844","5,9829","5,9877","5,9729","0,04%"
"31.01.2020","5,9822","5,9727","5,9870","5,9639","0,16%"
"30.01.2020","5,9725","5,9617","5,9934","5,9563","0,27%"
"29.01.2020","5,9567","5,9409","5,9753","5,9327","0,28%"
"28.01.2020","5,9403","5,9422","5,9537","5,9260","-0,06%"
"27.01.2020","5,9440","5,9392","5,9574","5,9290","0,08%"
"24.01.2020","5,9391","5,9314","5,9478","5,9170","0,08%"
"23.01.2020","5,9344","5,9220","5,9495","5,8994","0,21%"
"22.01.2020","5,9222","5,9405","5,9478","5,9150","-0,26%"
"21.01.2020","5,9376","5,9121","5,9416","5,9107","0,41%"
"20.01.2020","5,9132","5,8810","5,9218","5,8810","0,38%"
"17.01.2020","5,8908","5,8574","5,9106","5,8410","0,53%"
"16.01.2020","5,8597","5,8773","5,8963","5,8350","-0,27%"
"15.01.2020","5,8758","5,8815","5,9008","5,8654","-0,10%"
"14.01.2020","5,8819","5,8674","5,9036","5,8579","0,25%"
"13.01.2020","5,8671","5,8839","5,8845","5,8509","-0,18%"
"10.01.2020","5,8777","5,8706","5,8966","5,8535","0,06%"
"09.01.2020","5,8739","5,9093","5,9306","5,8593","-0,60%"
"08.01.2020","5,9091","5,9710","5,9881","5,8950","-1,06%"
"07.01.2020","5,9727","5,9677","5,9791","5,9459","0,06%"
"06.01.2020","5,9690","5,9758","5,9811","5,9631","-0,06%"
"03.01.2020","5,9723","5,9545","5,9785","5,9460","0,26%"
