"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"08.05.2020","114.591,50","115.439,05","116.307,87","114.322,18","1,64B","-0,30%"
"07.05.2020","114.933,45","115.401,47","116.144,84","114.539,92","1,50B","-0,41%"
"06.05.2020","115.403,29","115.643,13","116.200,88","114.844,98","1,27B","-0,14%"
"05.05.2020","115.564,72","116.700,98","116.873,62","114.763,76","1,10B","-0,21%"
"04.05.2020","115.806,24","117.751,99","117.751,99","115.189,44","809,37M","-2,49%"
"30.04.2020","118.760,79","119.522,43","120.070,24","116.815,11","1,24B","-0,31%"
"29.04.2020","119.129,10","118.740,91","119.296,53","117.844,43","1,01B","0,80%"
"28.04.2020","118.181,91","119.155,57","119.594,18","117.983,96","1,11B","-0,66%"
"27.04.2020","118.970,10","117.583,73","119.082,92","117.550,74","1,26B","2,39%"
"24.04.2020","116.188,92","115.985,96","117.022,71","115.246,24","1,07B","0,34%"
"22.04.2020","115.789,88","116.073,46","116.832,40","115.753,27","1,11B","0,23%"
"21.04.2020","115.529,83","116.648,89","116.830,72","115.148,84","871,82M","-1,65%"
"20.04.2020","117.468,21","117.383,44","117.965,41","116.490,41","1,07B","0,47%"
"17.04.2020","116.921,55","117.003,86","117.763,58","116.243,72","1,23B","2,22%"
"16.04.2020","114.384,99","115.354,72","115.818,15","113.599,51","1,10B","0,04%"
"15.04.2020","114.338,49","118.243,99","118.581,75","113.421,84","1,54B","-2,92%"
"14.04.2020","117.777,52","116.115,16","117.837,19","116.059,02","1,56B","2,65%"
"13.04.2020","114.741,57","113.853,14","116.099,95","113.333,52","1,20B","-0,43%"
"10.04.2020","115.239,51","114.863,04","116.649,44","113.832,64","1,37B","0,72%"
"09.04.2020","114.413,17","112.087,20","114.413,17","111.348,96","1,81B","3,22%"
"08.04.2020","110.842,67","109.914,92","110.893,73","109.264,12","858,20M","0,89%"
"07.04.2020","109.869,99","110.562,64","112.624,64","109.869,99","1,69B","0,59%"
"06.04.2020","109.225,49","108.196,56","109.312,03","107.623,78","980,53M","2,59%"
"03.04.2020","106.466,96","106.701,67","107.148,39","106.056,79","901,06M","-0,18%"
"02.04.2020","106.663,00","106.915,28","107.731,37","105.016,42","1,49B","0,49%"
"01.04.2020","106.148,10","105.046,62","107.623,22","104.589,93","1,25B","-0,60%"
"31.03.2020","106.790,67","106.799,25","107.947,50","105.845,62","939,18M","1,36%"
"30.03.2020","105.353,97","105.222,50","106.366,18","103.929,88","796,15M","-0,18%"
"27.03.2020","105.539,78","109.996,14","110.632,16","105.539,78","1,12B","-3,82%"
