"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"26.03.2020","109.734,88","106.419,60","110.029,30","105.962,18","1,36B","2,94%"
"25.03.2020","106.604,27","108.722,57","110.431,64","105.838,36","1,54B","-0,74%"
"24.03.2020","107.401,03","105.497,29","107.993,18","104.624,39","1,21B","5,91%"
"23.03.2020","101.409,71","100.338,35","104.602,19","99.304,78","1,16B","-2,23%"
"20.03.2020","103.726,57","105.906,10","107.056,58","102.777,99","923,86M","0,17%"
"19.03.2020","103.549,16","103.433,12","105.709,44","102.094,09","1,09B","-0,56%"
"18.03.2020","104.134,10","103.418,11","106.930,80","102.834,14","988,97M","-1,62%"
"17.03.2020","105.853,55","108.186,42","108.186,42","99.663,77","1,33B","-0,71%"
"16.03.2020","106.609,02","111.705,16","111.705,16","105.159,68","878,70M","-7,98%"
"13.03.2020","115.848,99","113.930,89","120.119,50","111.479,32","1,37B","1,82%"
"12.03.2020","113.773,66","119.012,04","119.539,23","112.478,28","888,16M","-6,77%"
"11.03.2020","122.029,82","121.359,34","124.240,62","119.590,84","1,00B","0,03%"
"10.03.2020","121.995,37","127.145,62","128.392,88","121.933,53","1,06B","-1,73%"
"09.03.2020","124.138,67","127.322,20","127.333,71","122.826,32","890,66M","-5,16%"
"06.03.2020","130.896,87","133.277,86","134.229,94","130.012,46","903,03M","-2,02%"
"05.03.2020","133.595,06","134.441,55","135.163,88","133.021,70","840,32M","0,88%"
"04.03.2020","132.432,17","132.315,59","134.985,38","131.945,63","1,21B","-0,17%"
"03.03.2020","132.651,98","129.595,32","132.651,98","129.568,42","1,04B","3,98%"
"02.03.2020","127.570,99","129.108,20","130.240,53","126.594,37","895,54M","1,00%"
"28.02.2020","126.303,75","119.114,57","128.508,73","119.114,57","1,10B","-4,05%"
"27.02.2020","131.638,55","135.754,34","136.343,97","131.638,55","1,53B","-4,16%"
"26.02.2020","137.348,70","136.247,19","137.474,20","134.694,41","1,25B","0,80%"
"25.02.2020","136.256,09","138.065,20","138.422,31","135.914,44","1,25B","-0,65%"
"24.02.2020","137.141,30","137.796,66","137.796,66","135.598,67","1,12B","-2,07%"
"21.02.2020","140.041,03","138.069,38","140.889,02","137.556,91","1,46B","0,89%"
"20.02.2020","138.807,52","142.772,59","142.920,08","138.025,33","1,53B","-2,75%"
"19.02.2020","142.727,91","143.464,42","144.036,56","141.889,30","1,02B","-0,21%"
"18.02.2020","143.022,36","143.822,06","143.834,19","142.494,06","1,19B","-0,92%"
"17.02.2020","144.353,13","144.602,03","144.873,63","144.109,73","1,11B","0,56%"
"14.02.2020","143.552,13","144.743,66","145.399,81","143.477,95","1,09B","-0,37%"
"13.02.2020","144.088,59","143.655,67","144.457,64","142.893,58","1,13B","0,20%"
"12.02.2020","143.797,69","143.761,13","145.613,23","142.892,80","1,77B","0,12%"
"11.02.2020","143.630,00","143.106,27","143.991,69","140.775,59","1,50B","1,29%"
"10.02.2020","141.798,78","143.977,55","144.863,16","140.123,80","1,56B","-2,11%"
"07.02.2020","144.848,08","146.834,28","147.227,34","144.742,25","1,08B","-1,23%"
"06.02.2020","146.658,69","147.287,95","148.825,06","146.310,08","1,43B","-0,12%"
"05.02.2020","146.828,13","147.075,98","148.689,64","146.527,36","1,56B","0,03%"
"04.02.2020","146.788,56","144.450,97","146.895,84","144.052,70","1,28B","2,74%"
"03.02.2020","142.879,42","143.259,56","143.524,73","142.338,16","1,10B","-0,04%"
"31.01.2020","142.942,13","144.646,09","144.900,97","142.942,13","1,61B","-1,08%"
"30.01.2020","144.507,48","143.313,06","144.507,48","142.472,13","1,20B","0,40%"
"29.01.2020","143.937,58","144.926,58","145.116,63","143.773,72","1,09B","-0,04%"
"28.01.2020","143.996,02","145.231,23","145.508,83","143.452,95","1,20B","-0,32%"
"27.01.2020","144.461,48","145.310,70","146.368,75","144.240,89","1,14B","-1,90%"
"24.01.2020","147.263,63","149.479,81","149.762,86","145.533,92","1,51B","-0,48%"
"23.01.2020","147.966,88","147.877,28","149.185,47","147.614,27","1,20B","-0,30%"
"22.01.2020","148.409,78","150.517,27","150.925,09","148.001,73","1,35B","-0,85%"
"21.01.2020","149.678,67","147.554,23","150.056,72","147.152,95","1,28B","0,74%"
"20.01.2020","148.578,31","147.728,36","149.058,28","147.728,36","1,11B","0,92%"
"17.01.2020","147.228,25","147.454,98","147.721,23","146.160,31","1,14B","0,40%"
"16.01.2020","146.641,08","147.044,95","148.430,59","146.433,91","1,81B","0,03%"
"15.01.2020","146.594,59","147.122,94","147.888,52","146.202,42","1,74B","-0,58%"
"14.01.2020","147.444,48","146.439,63","147.571,33","145.457,23","1,72B","0,76%"
"13.01.2020","146.338,44","145.653,97","147.316,55","145.578,34","1,84B","1,30%"
"10.01.2020","144.455,63","143.874,11","145.031,56","143.165,59","1,74B","0,59%"
"09.01.2020","143.605,94","140.060,31","143.806,45","140.048,66","1,96B","4,64%"
"08.01.2020","137.237,77","134.852,59","137.732,23","134.577,20","1,24B","0,49%"
"07.01.2020","136.574,73","136.959,52","137.624,02","136.245,63","907,80M","0,78%"
"06.01.2020","135.514,13","136.739,17","137.326,77","135.244,17","1,08B","-1,82%"
"03.01.2020","138.025,27","139.686,72","140.315,03","137.028,08","1,63B","-1,89%"
"02.01.2020","140.681,48","139.405,48","140.681,48","138.989,09","1,40B","1,33%"
"31.12.2019","138.830,09","139.467,63","139.911,11","138.830,09","996,28M","-0,22%"
"30.12.2019","139.129,61","138.121,66","139.356,72","138.121,66","1,03B","1,01%"
"27.12.2019","137.740,28","138.142,05","138.416,36","137.347,97","676,22M","0,02%"
"26.12.2019","137.706,45","137.455,03","138.729,19","137.129,59","671,05M","0,29%"
"25.12.2019","137.303,16","137.516,16","137.748,83","137.129,91","522,06M","0,04%"
"24.12.2019","137.250,77","136.940,55","137.618,55","136.785,63","921,68M","0,85%"
"23.12.2019","136.094,81","135.423,47","136.094,81","135.089,13","812,84M","0,69%"
"20.12.2019","135.160,38","134.971,61","135.656,72","134.710,55","872,71M","0,54%"
"19.12.2019","134.428,72","134.943,69","135.401,78","134.277,06","683,36M","-0,15%"
"18.12.2019","134.627,50","134.636,89","135.033,69","134.077,20","826,40M","-0,51%"
"17.12.2019","135.311,58","135.944,30","136.479,22","135.158,56","846,16M","-0,14%"
"16.12.2019","135.507,36","135.026,80","135.992,58","134.407,36","931,90M","0,51%"
"13.12.2019","134.822,98","135.374,73","136.554,58","134.259,34","1,38B","0,48%"
"12.12.2019","134.182,31","132.187,22","134.182,31","132.187,22","1,18B","2,13%"
"11.12.2019","131.380,97","131.632,34","131.868,91","131.017,40","648,03M","-0,23%"
"10.12.2019","131.689,88","132.555,88","133.192,70","131.237,22","896,86M","-0,60%"
"09.12.2019","132.490,27","132.754,50","132.907,83","131.689,69","864,03M","-0,26%"
"06.12.2019","132.834,75","133.148,73","133.497,56","132.323,42","970,22M","0,05%"
"05.12.2019","132.767,42","132.324,02","133.256,70","132.158,38","1,07B","0,80%"
"04.12.2019","131.711,08","131.205,88","131.871,81","130.528,22","853,35M","0,81%"
"03.12.2019","130.658,75","132.135,88","133.243,36","130.658,75","1,08B","-1,29%"
"02.12.2019","132.361,06","131.820,30","132.656,70","131.672,98","826,43M","0,81%"
