"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"03.03.2020","111.207,27","108.997,50","111.207,27","108.881,41","1,84B","3,63%"
"02.03.2020","107.309,87","108.379,28","109.405,34","106.425,26","1,70B","1,24%"
"28.02.2020","105.993,65","99.331,99","107.760,17","99.331,99","1,79B","-4,01%"
"27.02.2020","110.418,37","113.975,54","114.463,57","110.418,37","2,54B","-4,13%"
"26.02.2020","115.171,27","114.281,84","115.352,98","113.146,53","2,28B","0,71%"
"25.02.2020","114.364,53","115.626,05","115.991,78","113.850,42","2,51B","-0,37%"
"24.02.2020","114.789,21","114.984,40","114.984,40","113.462,55","1,97B","-1,75%"
"21.02.2020","116.829,39","115.089,45","117.415,25","114.453,40","2,60B","1,03%"
"20.02.2020","115.642,04","119.288,90","119.350,34","114.920,86","2,65B","-2,98%"
"19.02.2020","119.196,09","120.036,23","120.464,81","118.570,59","2,08B","-0,32%"
"18.02.2020","119.574,10","120.451,43","120.451,43","119.144,88","2,57B","-1,01%"
"17.02.2020","120.791,86","120.981,96","121.242,40","120.561,20","2,56B","0,53%"
"14.02.2020","120.151,44","121.081,97","121.580,54","120.049,25","2,31B","-0,32%"
"13.02.2020","120.540,53","120.000,39","120.811,62","119.472,47","2,21B","0,41%"
"12.02.2020","120.048,74","119.940,00","121.369,76","119.229,22","3,00B","0,21%"
"11.02.2020","119.797,82","119.504,74","120.077,53","117.450,92","2,69B","1,23%"
"10.02.2020","118.341,52","120.459,39","121.189,73","116.647,79","2,79B","-2,21%"
"07.02.2020","121.015,14","122.476,31","122.812,20","120.912,76","2,14B","-1,04%"
"06.02.2020","122.283,87","122.712,08","123.844,96","121.991,96","2,66B","-0,03%"
"05.02.2020","122.320,77","122.416,65","123.629,32","121.906,36","2,82B","0,15%"
"04.02.2020","122.136,17","120.476,43","122.220,10","120.159,22","2,36B","2,43%"
"03.02.2020","119.242,80","119.436,50","119.784,11","118.761,62","2,38B","0,09%"
"31.01.2020","119.140,08","120.096,24","120.317,93","119.140,08","2,69B","-0,59%"
"30.01.2020","119.849,65","119.230,86","119.871,80","118.255,89","2,10B","0,13%"
"29.01.2020","119.689,48","120.585,88","120.740,70","119.505,76","2,25B","-0,09%"
"28.01.2020","119.801,63","120.816,15","121.109,42","119.403,17","2,31B","-0,29%"
"27.01.2020","120.149,70","120.711,70","121.673,64","120.000,24","2,36B","-1,63%"
"24.01.2020","122.141,75","123.693,69","123.936,26","120.761,35","2,37B","-0,33%"
"23.01.2020","122.540,22","122.392,42","123.457,39","122.188,16","2,16B","-0,17%"
"22.01.2020","122.747,08","124.215,90","124.536,63","122.368,67","2,61B","-0,65%"
"21.01.2020","123.556,10","121.886,80","123.803,96","121.504,06","2,80B","0,76%"
"20.01.2020","122.619,77","121.879,47","122.925,97","121.879,47","2,28B","0,94%"
"17.01.2020","121.474,75","121.619,00","121.874,29","120.596,94","2,09B","0,39%"
"16.01.2020","121.000,85","121.377,89","122.482,43","120.763,09","3,21B","0,05%"
"15.01.2020","120.938,78","121.232,62","121.804,10","120.442,41","3,38B","-0,40%"
"14.01.2020","121.423,34","120.392,65","121.504,39","119.574,71","2,57B","0,98%"
"13.01.2020","120.249,03","119.595,16","120.899,69","119.595,16","2,88B","1,34%"
"10.01.2020","118.663,70","118.250,73","119.140,15","117.701,09","3,28B","0,57%"
"09.01.2020","117.990,45","115.236,49","118.144,62","115.236,49","3,43B","4,53%"
"08.01.2020","112.876,05","110.960,81","113.342,43","110.745,62","2,33B","0,25%"
"07.01.2020","112.599,92","112.594,00","113.387,24","112.347,58","1,78B","1,07%"
"06.01.2020","111.412,70","112.532,38","112.973,08","111.211,98","2,04B","-2,00%"
"03.01.2020","113.684,01","115.142,77","115.570,89","112.617,20","2,93B","-1,94%"
"02.01.2020","115.932,05","114.902,51","115.932,05","114.565,91","2,41B","1,32%"
"31.12.2019","114.424,96","115.072,05","115.312,01","114.418,57","2,23B","-0,29%"
"30.12.2019","114.753,97","114.057,03","114.961,51","114.057,03","2,65B","0,94%"
"27.12.2019","113.683,61","114.035,70","114.290,81","113.380,66","2,62B","0,03%"
"26.12.2019","113.653,02","113.514,17","114.534,75","113.166,18","2,10B","0,29%"
"25.12.2019","113.329,22","113.397,29","113.584,91","113.062,75","1,98B","0,16%"
"24.12.2019","113.153,46","112.839,70","113.395,45","112.783,03","2,65B","0,87%"
"23.12.2019","112.175,19","111.479,29","112.177,84","111.266,18","2,91B","0,90%"
"20.12.2019","111.176,75","111.040,82","111.636,33","110.858,91","2,17B","0,52%"
"19.12.2019","110.599,43","110.853,16","111.274,25","110.485,88","1,62B","0,02%"
"18.12.2019","110.574,68","110.563,36","110.848,19","110.105,80","2,41B","-0,45%"
"17.12.2019","111.073,69","111.495,02","111.955,68","110.937,43","2,52B","-0,05%"
"16.12.2019","111.125,51","110.673,98","111.443,40","110.234,45","2,17B","0,59%"
"13.12.2019","110.476,59","111.010,65","111.910,40","110.017,97","2,56B","0,33%"
"12.12.2019","110.114,66","108.555,89","110.114,66","108.555,89","2,05B","2,03%"
"11.12.2019","107.921,68","108.030,51","108.218,20","107.464,85","1,62B","-0,08%"
"10.12.2019","108.011,45","108.912,38","109.378,39","107.617,84","2,07B","-0,71%"
"09.12.2019","108.786,06","108.896,49","109.124,74","108.138,53","2,32B","-0,08%"
"06.12.2019","108.869,14","109.008,91","109.315,16","108.352,00","2,16B","0,19%"
"05.12.2019","108.658,98","108.260,07","109.031,94","108.151,34","2,24B","0,89%"
"04.12.2019","107.701,32","107.254,48","107.794,78","106.701,59","1,93B","0,85%"
"03.12.2019","106.789,87","107.873,01","108.777,19","106.789,87","2,56B","-1,12%"
"02.12.2019","108.004,30","107.350,11","108.210,24","107.318,05","2,19B","1,03%"
